curso,modulo,id_modulo,actividad,estacion,contrato_7_campos,ae_y_criterio,ciclo_didactico_documentado
Refrigeración y Climatización,Lectura de planos y cubicación de materiales de proyectos,1,context,1,1,1,1
Refrigeración y Climatización,Lectura de planos y cubicación de materiales de proyectos,1,ae-1-1,2,1,1,1
Refrigeración y Climatización,Lectura de planos y cubicación de materiales de proyectos,1,ae-1-2,2,1,1,1
Refrigeración y Climatización,Lectura de planos y cubicación de materiales de proyectos,1,ae-1-3,2,1,1,1
Refrigeración y Climatización,Lectura de planos y cubicación de materiales de proyectos,1,ae-1-4,2,1,1,1
Refrigeración y Climatización,Lectura de planos y cubicación de materiales de proyectos,1,ae-1-5,2,1,1,1
Refrigeración y Climatización,Lectura de planos y cubicación de materiales de proyectos,1,ae-1-6,2,1,1,1
Refrigeración y Climatización,Lectura de planos y cubicación de materiales de proyectos,1,ae-2-1,2,1,1,1
Refrigeración y Climatización,Lectura de planos y cubicación de materiales de proyectos,1,ae-2-2,2,1,1,1
Refrigeración y Climatización,Lectura de planos y cubicación de materiales de proyectos,1,ae-2-3,2,1,1,1
Refrigeración y Climatización,Lectura de planos y cubicación de materiales de proyectos,1,ae-2-4,2,1,1,1
Refrigeración y Climatización,Lectura de planos y cubicación de materiales de proyectos,1,ae-2-5,2,1,1,1
Refrigeración y Climatización,Lectura de planos y cubicación de materiales de proyectos,1,ae-2-6,2,1,1,1
Refrigeración y Climatización,Lectura de planos y cubicación de materiales de proyectos,1,ae-3-1,2,1,1,1
Refrigeración y Climatización,Lectura de planos y cubicación de materiales de proyectos,1,ae-3-2,2,1,1,1
Refrigeración y Climatización,Lectura de planos y cubicación de materiales de proyectos,1,ae-3-3,2,1,1,1
Refrigeración y Climatización,Lectura de planos y cubicación de materiales de proyectos,1,ae-3-4,2,1,1,1
Refrigeración y Climatización,Lectura de planos y cubicación de materiales de proyectos,1,ae-3-5,2,1,1,1
Refrigeración y Climatización,Lectura de planos y cubicación de materiales de proyectos,1,ae-3-6,2,1,1,1
Refrigeración y Climatización,Lectura de planos y cubicación de materiales de proyectos,1,formative-1,3,1,1,1
Refrigeración y Climatización,Lectura de planos y cubicación de materiales de proyectos,1,formative-2,3,1,1,1
Refrigeración y Climatización,Lectura de planos y cubicación de materiales de proyectos,1,formative-3,3,1,1,1
